id	classificacao	nome	combustivel	aspirado_turbina	portas	carroceria	tracao	motor_posicao	entre_eixos	comprimento	largura	altura	peso	motor_tipo	cilindros	motor_tamanho	injecao_tipo	compressao	torque	compressao	hp	rpm_max	consumo_cidade_litros	consumo_estrada_litros	preco
144	0	subaru baja	gas	std	quatro	sedan	dianteira	dianteira	2.469	4.369	1.661	1.334	2340	ohcf	quatro	108	mpfi	3.62	2.64	9	94	5200	6.869	8.454	49800
145	0	subaru r1	gas	std	quatro	sedan	4x4	dianteira	2.464	4.369	1.661	1.379	2385	ohcf	quatro	108	2bbl	3.62	2.64	9	82	4800	6.341	6.605	46165
146	0	subaru r2	gas	turbo	quatro	sedan	4x4	dianteira	2.464	4.369	1.661	1.379	2510	ohcf	quatro	108	mpfi	3.62	2.64	7.7	111	4800	6.341	7.662	56295
147	0	subaru trezia	gas	std	quatro	wagon	dianteira	dianteira	2.464	4.407	1.661	1.346	2290	ohcf	quatro	108	2bbl	3.62	2.64	9	82	4800	7.398	8.454	37315
148	0	subaru tribeca	gas	std	quatro	wagon	dianteira	dianteira	2.464	4.407	1.661	1.346	2455	ohcf	quatro	108	mpfi	3.62	2.64	9	94	5200	6.605	8.190	50990
149	0	subaru dl	gas	std	quatro	wagon	4x4	dianteira	2.461	4.409	1.661	1.394	2420	ohcf	quatro	108	2bbl	3.62	2.64	9	82	4800	6.077	7.662	40065
150	0	subaru dl	gas	turbo	quatro	wagon	4x4	dianteira	2.461	4.409	1.661	1.394	2650	ohcf	quatro	108	mpfi	3.62	2.64	7.7	111	4800	6.077	6.077	58470
151	1	toyota corona mark ii	gas	std	duas	hatchback	dianteira	dianteira	2.431	4.031	1.615	1.384	1985	ohc	quatro	92	2bbl	3.05	3.03	9	62	4800	9.247	10.304	26740
152	1	toyota corona	gas	std	duas	hatchback	dianteira	dianteira	2.431	4.031	1.615	1.384	2040	ohc	quatro	92	2bbl	3.05	3.03	9	62	4800	8.190	10.040	31690
153	1	toyota corolla 1200	gas	std	quatro	hatchback	dianteira	dianteira	2.431	4.031	1.615	1.384	2015	ohc	quatro	92	2bbl	3.05	3.03	9	62	4800	8.190	10.040	32440
154	0	toyota corona hardtop	gas	std	quatro	wagon	dianteira	dianteira	2.431	4.310	1.615	1.501	2280	ohc	quatro	92	2bbl	3.05	3.03	9	62	4800	8.190	9.775	34590
155	0	toyota corolla 1600 (sw)	gas	std	quatro	wagon	4x4	dianteira	2.431	4.310	1.615	1.501	2290	ohc	quatro	92	2bbl	3.05	3.03	9	62	4800	7.133	8.454	39490
156	0	toyota carina	gas	std	quatro	wagon	4x4	dianteira	2.431	4.310	1.615	1.501	3110	ohc	quatro	92	2bbl	3.05	3.03	9	62	4800	7.133	8.454	43890
157	0	toyota mark ii	gas	std	quatro	sedan	dianteira	dianteira	2.431	4.224	1.636	1.346	2081	ohc	quatro	98	2bbl	3.19	3.03	9	70	4800	7.926	9.775	34690
158	0	toyota corolla 1200	gas	std	quatro	hatchback	dianteira	dianteira	2.431	4.224	1.636	1.341	2109	ohc	quatro	98	2bbl	3.19	3.03	9	70	4800	7.926	9.775	35990
159	0	toyota corona	diesel	std	quatro	sedan	dianteira	dianteira	2.431	4.224	1.636	1.346	2275	ohc	quatro	110	idi	3.27	3.35	22.5	56	4500	8.983	9.511	39490
160	0	toyota corolla	diesel	std	quatro	hatchback	dianteira	dianteira	2.431	4.224	1.636	1.341	2275	ohc	quatro	110	idi	3.27	3.35	22.5	56	4500	10.040	12.417	38940
161	0	toyota corona	gas	std	quatro	sedan	dianteira	dianteira	2.431	4.224	1.636	1.346	2094	ohc	quatro	98	2bbl	3.19	3.03	9	70	4800	10.040	12.417	38690
162	0	toyota corolla	gas	std	quatro	hatchback	dianteira	dianteira	2.431	4.224	1.636	1.341	2122	ohc	quatro	98	2bbl	3.19	3.03	9	70	4800	7.398	8.983	41790
163	0	toyota mark ii	gas	std	quatro	sedan	dianteira	dianteira	2.431	4.224	1.636	1.341	2140	ohc	quatro	98	2bbl	3.19	3.03	9	70	4800	7.398	8.983	46290
164	1	toyota corolla liftback	gas	std	duas	sedan	traseira	dianteira	2.400	4.285	1.626	1.336	2169	ohc	quatro	98	2bbl	3.19	3.03	9	70	4800	7.662	8.983	40290
165	1	toyota corona	gas	std	duas	hatchback	traseira	dianteira	2.400	4.285	1.626	1.336	2204	ohc	quatro	98	2bbl	3.19	3.03	9	70	4800	7.662	8.983	41190
166	1	toyota celica gt liftback	gas	std	duas	sedan	traseira	dianteira	2.400	4.285	1.626	1.336	2265	dohc	quatro	98	mpfi	3.24	3.08	9.4	112	6600	6.869	7.662	46490
167	1	toyota corolla tercel	gas	std	duas	hatchback	traseira	dianteira	2.400	4.285	1.626	1.336	2300	dohc	quatro	98	mpfi	3.24	3.08	9.4	112	6600	6.869	7.662	47690
168	2	toyota corona liftback	gas	std	duas	hardtop	traseira	dianteira	2.499	4.475	1.666	1.321	2540	ohc	quatro	146	mpfi	3.62	3.5	9.3	116	4800	6.341	7.926	42245
169	2	toyota corolla	gas	std	duas	hardtop	traseira	dianteira	2.499	4.475	1.666	1.321	2536	ohc	quatro	146	mpfi	3.62	3.5	9.3	116	4800	6.341	7.926	48195
170	2	toyota starlet	gas	std	duas	hatchback	traseira	dianteira	2.499	4.475	1.666	1.321	2551	ohc	quatro	146	mpfi	3.62	3.5	9.3	116	4800	6.341	7.926	49945
171	2	toyota tercel	gas	std	duas	hardtop	traseira	dianteira	2.499	4.475	1.666	1.321	2679	ohc	quatro	146	mpfi	3.62	3.5	9.3	116	4800	6.341	7.926	55995
172	2	toyota corolla	gas	std	duas	hatchback	traseira	dianteira	2.499	4.475	1.666	1.321	2714	ohc	quatro	146	mpfi	3.62	3.5	9.3	116	4800	6.341	7.926	57745
173	2	toyota cressida	gas	std	duas	convertible	traseira	dianteira	2.499	4.475	1.666	1.346	2975	ohc	quatro	146	mpfi	3.62	3.5	9.3	116	4800	6.341	7.926	88345
174	-1	toyota corolla	gas	std	quatro	sedan	dianteira	dianteira	2.601	4.460	1.689	1.394	2326	ohc	quatro	122	mpfi	3.31	3.54	8.7	92	4200	7.662	8.983	44740
175	-1	toyota celica gt	diesel	turbo	quatro	sedan	dianteira	dianteira	2.601	4.460	1.689	1.394	2480	ohc	quatro	110	idi	3.27	3.35	22.5	73	4500	7.926	8.719	53490
176	-1	toyota corona	gas	std	quatro	hatchback	dianteira	dianteira	2.601	4.460	1.689	1.369	2414	ohc	quatro	122	mpfi	3.31	3.54	8.7	92	4200	7.133	8.454	49940
177	-1	toyota corolla	gas	std	quatro	sedan	dianteira	dianteira	2.601	4.460	1.689	1.394	2414	ohc	quatro	122	mpfi	3.31	3.54	8.7	92	4200	7.133	8.454	54490
178	-1	toyota mark ii	gas	std	quatro	hatchback	dianteira	dianteira	2.601	4.460	1.689	1.369	2458	ohc	quatro	122	mpfi	3.31	3.54	8.7	92	4200	7.133	8.454	56240
179	3	toyota corolla liftback	gas	std	duas	hatchback	traseira	dianteira	2.614	4.661	1.720	1.321	2976	dohc	seis	171	mpfi	3.27	3.35	9.3	161	5200	5.284	6.341	82790
180	3	toyota corona	gas	std	duas	hatchback	traseira	dianteira	2.614	4.661	1.720	1.321	3016	dohc	seis	171	mpfi	3.27	3.35	9.3	161	5200	5.020	6.341	79990
181	-1	toyota starlet	gas	std	quatro	sedan	traseira	dianteira	2.654	4.770	1.689	1.374	3131	dohc	seis	171	mpfi	3.27	3.35	9.2	156	5200	5.284	6.341	78450
182	-1	toyouta tercel	gas	std	quatro	wagon	traseira	dianteira	2.654	4.770	1.689	1.374	3151	dohc	seis	161	mpfi	3.27	3.35	9.2	156	5200	5.020	6.341	78750
183	2	vokswagen rabbit	diesel	std	duas	sedan	dianteira	dianteira	2.471	4.361	1.664	1.415	2261	ohc	quatro	97	idi	3.01	3.4	23	52	4800	9.775	12.153	38875
184	2	volkswagen 1131 deluxe sedan	gas	std	duas	sedan	dianteira	dianteira	2.471	4.361	1.664	1.415	2209	ohc	quatro	109	mpfi	3.19	3.4	9	85	5250	7.133	8.983	39875
185	2	volkswagen model 111	diesel	std	quatro	sedan	dianteira	dianteira	2.471	4.361	1.664	1.415	2264	ohc	quatro	97	idi	3.01	3.4	23	52	4800	9.775	12.153	39975
186	2	volkswagen type 3	gas	std	quatro	sedan	dianteira	dianteira	2.471	4.361	1.664	1.415	2212	ohc	quatro	109	mpfi	3.19	3.4	9	85	5250	7.133	8.983	40975
187	2	volkswagen 411 (sw)	gas	std	quatro	sedan	dianteira	dianteira	2.471	4.361	1.664	1.415	2275	ohc	quatro	109	mpfi	3.19	3.4	9	85	5250	7.133	8.983	42475
188	2	volkswagen super beetle	diesel	turbo	quatro	sedan	dianteira	dianteira	2.471	4.361	1.664	1.415	2319	ohc	quatro	97	idi	3.01	3.4	23	68	4500	9.775	11.096	47475
189	2	volkswagen dasher	gas	std	quatro	sedan	dianteira	dianteira	2.471	4.361	1.664	1.415	2300	ohc	quatro	109	mpfi	3.19	3.4	10	100	5500	6.869	8.454	49975
190	3	vw passat	gas	std	duas	convertible	dianteira	dianteira	2.400	4.046	1.631	1.412	2254	ohc	quatro	109	mpfi	3.19	3.4	8.5	90	5500	6.341	7.662	57975
191	3	vw gol	gas	std	duas	hatchback	dianteira	dianteira	2.400	4.209	1.626	1.306	2221	ohc	quatro	109	mpfi	3.19	3.4	8.5	90	5500	6.341	7.662	49900
192	0	volkswagen rabbit	gas	std	quatro	sedan	dianteira	dianteira	2.550	4.577	1.699	1.400	2661	ohc	cinco	136	mpfi	3.19	3.4	8.5	110	5500	5.020	6.341	66475
193	0	volkswagen rabbit custom	diesel	turbo	quatro	sedan	dianteira	dianteira	2.550	4.577	1.699	1.400	2579	ohc	quatro	97	idi	3.01	3.4	23	68	4500	8.719	10.040	69225
194	0	volkswagen dasher	gas	std	quatro	wagon	dianteira	dianteira	2.550	4.651	1.699	1.400	2563	ohc	quatro	109	mpfi	3.19	3.4	9	88	5500	6.605	8.190	61450
195	-2	volvo 145e (sw)	gas	std	quatro	sedan	traseira	dianteira	2.649	4.796	1.707	1.427	2912	ohc	quatro	141	mpfi	3.78	3.15	9.5	114	5400	6.077	7.398	64700
196	-1	volvo 144ea	gas	std	quatro	wagon	traseira	dianteira	2.649	4.796	1.707	1.461	3034	ohc	quatro	141	mpfi	3.78	3.15	9.5	114	5400	6.077	7.398	67075
197	-2	volvo 244dl	gas	std	quatro	sedan	traseira	dianteira	2.649	4.796	1.707	1.427	2935	ohc	quatro	141	mpfi	3.78	3.15	9.5	114	5400	6.341	7.398	79925
198	-1	volvo 245	gas	std	quatro	wagon	traseira	dianteira	2.649	4.796	1.707	1.461	3042	ohc	quatro	141	mpfi	3.78	3.15	9.5	114	5400	6.341	7.398	82575
199	-2	volvo 264gl	gas	turbo	quatro	sedan	traseira	dianteira	2.649	4.796	1.707	1.427	3045	ohc	quatro	130	mpfi	3.62	3.15	7.5	162	5100	4.491	5.812	92100
200	-1	volvo diesel	gas	turbo	quatro	wagon	traseira	dianteira	2.649	4.796	1.707	1.461	3157	ohc	quatro	130	mpfi	3.62	3.15	7.5	162	5100	4.491	5.812	94750
201	-1	volvo 145e (sw)	gas	std	quatro	sedan	traseira	dianteira	2.771	4.796	1.750	1.410	2952	ohc	quatro	141	mpfi	3.78	3.15	9.5	114	5400	6.077	7.398	84225
202	-1	volvo 144ea	gas	turbo	quatro	sedan	traseira	dianteira	2.771	4.796	1.748	1.410	3049	ohc	quatro	141	mpfi	3.78	3.15	8.7	160	5300	5.020	6.605	95225
203	-1	volvo 244dl	gas	std	quatro	sedan	traseira	dianteira	2.771	4.796	1.750	1.410	3012	ohcv	seis	173	mpfi	3.58	2.87	8.8	134	5500	4.756	6.077	107425
204	-1	volvo 246	diesel	turbo	quatro	sedan	traseira	dianteira	2.771	4.796	1.750	1.410	3217	ohc	seis	145	idi	3.01	3.4	23	106	4800	6.869	7.133	112350
205	-1	volvo 264gl	gas	turbo	quatro	sedan	traseira	dianteira	2.771	4.796	1.750	1.410	3062	ohc	quatro	141	mpfi	3.78	3.15	9.5	114	5400	5.020	6.605	113125
