Data	Codigo_Atendimento	Código Marca	Marca	Código Modelo	Modelo	Código Defeito	Defeito	Código Grupo Defeito	Grupo Defeito
08/04/2019	TC132334	4	Xiaomi	6	Mi 9T	1	Display Quebrado	1	Display
09/03/2019	TC132334	4	Xiaomi	6	Mi 9T	3	Sem Sinal de Celular	3	Sem sinal
03/01/2019	TC132342	2	Motorola	5	One Hyper	1	Display Quebrado	1	Display
29/10/2019	TC132342	2	Motorola	5	One Hyper	1	Display Quebrado	1	Display
27/06/2019	TC132348	2	Motorola	2	Moto G8 Play	1	Display Quebrado	1	Display
17/08/2019	TC132376	3	Samsung	4	Galaxy A70	7	Lente Camera Traseira	6	Câmera
06/04/2019	TC132376	3	Samsung	4	Galaxy A70	5	Não Liga	5	Não Liga
11/03/2019	TC132424	2	Motorola	7	Moto E6 PLUS	1	Display Quebrado	1	Display
28/04/2019	TC132424	2	Motorola	7	Moto E6 PLUS	3	Sem Sinal de Celular	3	Sem sinal
26/02/2019	TC132455	2	Motorola	7	Moto E6 PLUS	4	Auto Falante Viva-Voz	4	Auto Falante
07/09/2019	TC132485	2	Motorola	7	Moto E6 PLUS	1	Display Quebrado	1	Display
01/03/2019	TC132485	2	Motorola	7	Moto E6 PLUS	5	Não Liga	5	Não Liga
13/10/2019	TC132485	2	Motorola	7	Moto E6 PLUS	5	Não Liga	5	Não Liga
04/05/2019	TC132538	1	Apple	9	Iphone 7	1	Display Quebrado	1	Display
07/01/2019	TC132632	4	Xiaomi	6	Mi 9T	4	Auto Falante Viva-Voz	4	Auto Falante
28/08/2019	TC132632	4	Xiaomi	6	Mi 9T	9	Carcaça Quebrada	8	Carcaça
26/01/2019	TC132633	2	Motorola	2	Moto G8 Play	5	Não Liga	5	Não Liga
01/10/2019	TC132642	4	Xiaomi	8	Redmi Note 8	12	Lente Câmera Dianteira	6	Câmera
13/08/2019	TC132720	2	Motorola	7	Moto E6 PLUS	1	Display Quebrado	1	Display
05/06/2019	TC132720	2	Motorola	7	Moto E6 PLUS	1	Display Quebrado	1	Display
11/08/2019	TC132781	4	Xiaomi	8	Redmi Note 8	3	Sem Sinal de Celular	3	Sem sinal
25/06/2019	TC132832	4	Xiaomi	6	Mi 9T	3	Sem Sinal de Celular	3	Sem sinal
30/01/2019	TC132872	4	Xiaomi	6	Mi 9T	2	Microfone	2	Microfone
04/08/2019	TC132896	1	Apple	1	Iphone 5s	1	Display Quebrado	1	Display
18/03/2019	TC132900	3	Samsung	4	Galaxy A70	1	Display Quebrado	1	Display
08/01/2019	TC132900	3	Samsung	4	Galaxy A70	2	Microfone	2	Microfone
22/09/2019	TC132900	3	Samsung	4	Galaxy A70	3	Sem Sinal de Celular	3	Sem sinal
01/03/2019	TC132900	3	Samsung	4	Galaxy A70	3	Sem Sinal de Celular	3	Sem sinal
09/09/2019	TC132908	1	Apple	9	Iphone 7	13	Capa Traseira	8	Carcaça
16/06/2019	TC132920	2	Motorola	2	Moto G8 Play	1	Display Quebrado	1	Display
24/08/2019	TC132920	2	Motorola	2	Moto G8 Play	12	Lente Câmera Dianteira	6	Câmera
26/08/2019	TC133061	4	Xiaomi	6	Mi 9T	3	Sem Sinal de Celular	3	Sem sinal
30/01/2019	TC133068	3	Samsung	3	Galaxy S9	4	Auto Falante Viva-Voz	4	Auto Falante
09/09/2019	TC133068	3	Samsung	3	Galaxy S9	4	Auto Falante Viva-Voz	4	Auto Falante
11/08/2019	TC133068	3	Samsung	3	Galaxy S9	2	Microfone	2	Microfone
05/06/2019	TC133068	3	Samsung	3	Galaxy S9	3	Sem Sinal de Celular	3	Sem sinal
19/04/2019	TC133138	2	Motorola	5	One Hyper	6	Auto Falante Dianteiro	4	Auto Falante
02/10/2019	TC133138	2	Motorola	5	One Hyper	1	Display Quebrado	1	Display
02/04/2019	TC133164	2	Motorola	7	Moto E6 PLUS	1	Display Quebrado	1	Display
18/07/2019	TC133246	3	Samsung	4	Galaxy A70	1	Display Quebrado	1	Display
01/10/2019	TC133246	3	Samsung	4	Galaxy A70	5	Não Liga	5	Não Liga
20/04/2019	TC133246	3	Samsung	4	Galaxy A70	3	Sem Sinal de Celular	3	Sem sinal
20/06/2019	TC133247	3	Samsung	3	Galaxy S9	9	Carcaça Quebrada	8	Carcaça
24/01/2019	TC133247	3	Samsung	3	Galaxy S9	1	Display Quebrado	1	Display
02/10/2019	TC133247	3	Samsung	3	Galaxy S9	1	Display Quebrado	1	Display
22/01/2019	TC133250	1	Apple	9	Iphone 7	3	Sem Sinal de Celular	3	Sem sinal
22/06/2019	TC133250	1	Apple	9	Iphone 7	3	Sem Sinal de Celular	3	Sem sinal
11/02/2019	TC133277	3	Samsung	4	Galaxy A70	5	Não Liga	5	Não Liga
19/06/2019	TC133302	3	Samsung	3	Galaxy S9	9	Carcaça Quebrada	8	Carcaça
20/10/2019	TC133302	3	Samsung	3	Galaxy S9	1	Display Quebrado	1	Display
17/10/2019	TC133359	2	Motorola	2	Moto G8 Play	9	Carcaça Quebrada	8	Carcaça
17/07/2019	TC133359	2	Motorola	2	Moto G8 Play	3	Sem Sinal de Celular	3	Sem sinal
27/07/2019	TC133389	4	Xiaomi	6	Mi 9T	1	Display Quebrado	1	Display
25/01/2019	TC133389	4	Xiaomi	6	Mi 9T	2	Microfone	2	Microfone
19/01/2019	TC133418	4	Xiaomi	6	Mi 9T	6	Auto Falante Dianteiro	4	Auto Falante
20/03/2019	TC133418	4	Xiaomi	6	Mi 9T	3	Sem Sinal de Celular	3	Sem sinal
07/07/2019	TC133444	2	Motorola	2	Moto G8 Play	4	Auto Falante Viva-Voz	4	Auto Falante
25/02/2019	TC133444	2	Motorola	2	Moto G8 Play	2	Microfone	2	Microfone
07/05/2019	TC133444	2	Motorola	2	Moto G8 Play	5	Não Liga	5	Não Liga
25/06/2019	TC133444	2	Motorola	2	Moto G8 Play	5	Não Liga	5	Não Liga
06/10/2019	TC133444	2	Motorola	2	Moto G8 Play	3	Sem Sinal de Celular	3	Sem sinal
18/04/2019	TC133471	3	Samsung	3	Galaxy S9	9	Carcaça Quebrada	8	Carcaça
15/10/2019	TC133471	3	Samsung	3	Galaxy S9	1	Display Quebrado	1	Display
18/04/2019	TC133471	3	Samsung	3	Galaxy S9	3	Sem Sinal de Celular	3	Sem sinal
27/03/2019	TC133475	4	Xiaomi	8	Redmi Note 8	6	Auto Falante Dianteiro	4	Auto Falante
08/08/2019	TC133475	4	Xiaomi	8	Redmi Note 8	5	Não Liga	5	Não Liga
10/06/2019	TC133600	3	Samsung	4	Galaxy A70	10	Capa dianteira	8	Carcaça
17/08/2019	TC133600	3	Samsung	4	Galaxy A70	7	Lente Camera Traseira	6	Câmera
09/10/2019	TC133600	3	Samsung	4	Galaxy A70	3	Sem Sinal de Celular	3	Sem sinal
13/09/2019	TC133600	3	Samsung	4	Galaxy A70	3	Sem Sinal de Celular	3	Sem sinal
04/05/2019	TC133600	3	Samsung	4	Galaxy A70	3	Sem Sinal de Celular	3	Sem sinal
20/09/2019	TC133636	4	Xiaomi	6	Mi 9T	9	Carcaça Quebrada	8	Carcaça
03/05/2019	TC133636	4	Xiaomi	6	Mi 9T	5	Não Liga	5	Não Liga
24/08/2019	TC133651	2	Motorola	5	One Hyper	8	Botão De Power	7	Botões
10/02/2019	TC133651	2	Motorola	5	One Hyper	1	Display Quebrado	1	Display
17/04/2019	TC133651	2	Motorola	5	One Hyper	1	Display Quebrado	1	Display
21/03/2019	TC133651	2	Motorola	5	One Hyper	5	Não Liga	5	Não Liga
19/09/2019	TC133724	3	Samsung	4	Galaxy A70	5	Não Liga	5	Não Liga
22/01/2019	TC133762	3	Samsung	3	Galaxy S9	5	Não Liga	5	Não Liga
24/04/2019	TC133762	3	Samsung	3	Galaxy S9	5	Não Liga	5	Não Liga
01/09/2019	TC133762	3	Samsung	3	Galaxy S9	5	Não Liga	5	Não Liga
13/10/2019	TC133804	3	Samsung	3	Galaxy S9	5	Não Liga	5	Não Liga
18/09/2019	TC133804	3	Samsung	3	Galaxy S9	3	Sem Sinal de Celular	3	Sem sinal
30/06/2019	TC134047	2	Motorola	2	Moto G8 Play	8	Botão De Power	7	Botões
29/08/2019	TC134047	2	Motorola	2	Moto G8 Play	1	Display Quebrado	1	Display
12/05/2019	TC134047	2	Motorola	2	Moto G8 Play	1	Display Quebrado	1	Display
21/08/2019	TC134065	4	Xiaomi	8	Redmi Note 8	5	Não Liga	5	Não Liga
10/10/2019	TC134100	3	Samsung	3	Galaxy S9	3	Sem Sinal de Celular	3	Sem sinal
31/10/2019	TC134119	2	Motorola	7	Moto E6 PLUS	7	Lente Camera Traseira	6	Câmera
01/05/2019	TC134148	1	Apple	9	Iphone 7	5	Não Liga	5	Não Liga
22/05/2019	TC134182	4	Xiaomi	8	Redmi Note 8	13	Capa Traseira	8	Carcaça
15/04/2019	TC134182	4	Xiaomi	8	Redmi Note 8	5	Não Liga	5	Não Liga
03/08/2019	TC134182	4	Xiaomi	8	Redmi Note 8	3	Sem Sinal de Celular	3	Sem sinal
25/04/2019	TC134229	1	Apple	1	Iphone 5s	6	Auto Falante Dianteiro	4	Auto Falante
24/10/2019	TC134229	1	Apple	1	Iphone 5s	2	Microfone	2	Microfone
02/07/2019	TC134260	3	Samsung	3	Galaxy S9	8	Botão De Power	7	Botões
05/05/2019	TC134291	1	Apple	1	Iphone 5s	1	Display Quebrado	1	Display
31/03/2019	TC134299	3	Samsung	4	Galaxy A70	13	Capa Traseira	8	Carcaça
23/01/2019	TC134299	3	Samsung	4	Galaxy A70	1	Display Quebrado	1	Display
12/05/2019	TC134299	3	Samsung	4	Galaxy A70	1	Display Quebrado	1	Display
21/05/2019	TC134309	4	Xiaomi	8	Redmi Note 8	4	Auto Falante Viva-Voz	4	Auto Falante
30/07/2019	TC134309	4	Xiaomi	8	Redmi Note 8	3	Sem Sinal de Celular	3	Sem sinal
03/10/2019	TC134310	3	Samsung	4	Galaxy A70	1	Display Quebrado	1	Display
