sinistro	data_sinistro	sinistro_mes	sinistro_dia_semana	horario_sinistro	cidade_sinistro	uf_sinistro	mercadoria_grupo	origem_cidade	origem_uf	destino_cidade	destino_uf	valor_carga	motorista_vinculo
Roubo/Furto	30/06/2017	junho	sexta-feira	Noite	Pedra Azul	MG	Específicas	Guarulhos	SP	Feira de Santana	BA	4 - Até R$ 1.000.000	Agregado
Roubo/Furto	30/06/2017	junho	sexta-feira	Madrugada	Rio de Janeiro	RJ	Alimentício	Cabreuva	SP	Rio de Janeiro	RJ	1 - De R$ 100.000 a R$ 200.000	Funcionário
Roubo/Furto	30/06/2017	junho	sexta-feira	Noite	São Paulo	SP	E-Commerce	Barueri	SP	São Paulo	SP	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	01/07/2017	julho	segunda-feira	Noite	Nova Odessa	SP	Óleo Lubrificante	Rio de Janeiro	RJ	Várzea Grande	MT	2 - Até R$ 300.000	Autônomo
Roubo/Furto	02/07/2017	julho	terça-feira	Tarde	Nova Iguaçú	RJ	Bebidas	Flores da Cunha	RS	Rio de Janeiro	RJ	1 - De R$ 100.000 a R$ 200.000	Funcionário
Roubo/Furto	02/07/2017	julho	terça-feira	Manhã	São João do Meriti	RJ	Frigorífico	Rolim de Moura	RO	São João de Meriti	RJ	2 - Até R$ 300.000	Funcionário
Roubo/Furto	03/07/2017	julho	terça-feira	Manhã	Bom Jesus dos Perdões	SP	Celulares	Taubaté	SP	Jundiaí	SP	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	03/07/2017	julho	terça-feira	Tarde	Édeia	GO	Defensivo Agrícola	Aparecida de Goiânia	GO	Quirinópolis	GO	3 - Até R$ 500.000	Funcionário
Roubo/Furto	03/07/2017	julho	terça-feira	Manhã	Mairinque	SP	Óleo Lubrificante	Rio de Janeiro	RJ	Várzea Grande	MT	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	05/07/2017	julho	terça-feira	Sem Inf	Queimados	RJ	Frigorífico	Santa Maria	RS	Belford Roxo	RJ	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	05/07/2017	julho	terça-feira	Sem Inf	Manaus	AM	Eletrônicos	Manaus	AM	Manaus	AM	5 - Acima de R$ 1.000.000	S/Comprovação
Roubo/Furto	06/07/2017	julho	terça-feira	Madrugada	Ijuí	RS	Doces/Chocolate	Argentina	EX	Poços de Caldas	MG	4 - Até R$ 1.000.000	Funcionário
Roubo/Furto	06/07/2017	julho	terça-feira	Tarde	Pindamonhangaba	SP	Alumínio	Pindamonhangaba	SP	Ponta Grossa	PR	1 - De R$ 100.000 a R$ 200.000	Agregado
Roubo/Furto	08/07/2017	julho	terça-feira	Madrugada	Matipó	MG	Café	Varginha	MG	Catanduva	SP	2 - Até R$ 300.000	Autônomo
Acidente	08/07/2017	julho	terça-feira	Noite	Ponta Alta	GO	Hig/Limp/Cosm	Goiânia	GO	Guajará-Mirim	RO	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	09/07/2017	julho	quarta-feira	Tarde	Rio de Janeiro	RJ	Pescado	Cubatão	SP	Rio de Janeiro	RJ	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	11/07/2017	julho	quarta-feira	Noite	Rio Largo	AL	Hig/Limp/Cosm	Vinhedo	SP	Ipojuca	PE	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	11/07/2017	julho	quarta-feira	Madrugada	Nova Iguaçú	RJ	Geral	Guarulhos	SP	Rio de Janeiro	RJ	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	12/07/2017	julho	quarta-feira	Madrugada	Jundiaí	SP	Calçados	Louveira	SP	São Roque	SP	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	12/07/2017	julho	quarta-feira	Manhã	Rio de Janeiro	RJ	Confecção/Tecido/Fios	Nova Iguaçu	RJ	Rio de Janeiro	RJ	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	13/07/2017	julho	quarta-feira	Tarde	Brumadinho	MG	Eletrodoméstico	Arujá	SP	Cabo de Santo Agostinho	PE	3 - Até R$ 500.000	Autônomo
Roubo/Furto	13/07/2017	julho	quarta-feira	Noite	Itabuna	BA	Laticínios	Barra Mansa	RJ	Campina Grande	PB	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	13/07/2017	julho	quarta-feira	Tarde	Rio de Janeiro	RJ	Eletrodoméstico	Guarulhos	SP	Rio de Janeiro	RJ	2 - Até R$ 300.000	Funcionário
Roubo/Furto	14/07/2017	julho	quarta-feira	Noite	Delta	MG	Eletrônicos	Guarulhos	SP	Uberlândia	MG	4 - Até R$ 1.000.000	S/Comprovação
Acidente	14/07/2017	julho	quarta-feira	Noite	Jaguaquara	BA	Café	Santos	SP	Itaporanga D' Ajuda	SE	2 - Até R$ 300.000	S/Comprovação
Acidente	15/07/2017	julho	quarta-feira	Manhã	Santa Maria Eterna	BA	Bebidas	Alagoinhas	BA	Ibiraçú	ES	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	16/07/2017	julho	quinta-feira	Madrugada	Alvorada	TO	Hig/Limp/Cosm	Louveira	SP	São Luis	MA	4 - Até R$ 1.000.000	S/Comprovação
Acidente	16/07/2017	julho	quinta-feira	Manhã	Itabela	BA	Alimentício	Santa Maria de Jetiba	ES	Maracanau	CE	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	18/07/2017	julho	quinta-feira	Madrugada	Duque de Caxias	RJ	Calçados	Louveira	SP	Volta Redonda	RJ	2 - Até R$ 300.000	Autônomo
Roubo/Furto	18/07/2017	julho	quinta-feira	Manhã	Bonsucesso	RJ	Celulares	Rio de Janeiro	RJ	Rio de Janeiro	RJ	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	19/07/2017	julho	quinta-feira	Manhã	Anápolis	GO	Combustível	Senador Canedo	GO	Brasilia	DF	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	20/07/2017	julho	quinta-feira	Manhã	Nova Iguaçú	RJ	Frigorífico	Araguaína	TO	Queimados	RJ	2 - Até R$ 300.000	Autônomo
Roubo/Furto	21/07/2017	julho	quinta-feira	Madrugada	Araporã	MG	Hig/Limp/Cosm	Louveira	SP	Aparecida de Goiânia	GO	5 - Acima de R$ 1.000.000	S/Comprovação
Acidente	21/07/2017	julho	quinta-feira	Manhã	Vinhedo	SP	Hig/Limp/Cosm	Valinhos	SP	Louveira	SP	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	21/07/2017	julho	quinta-feira	Sem Inf	Uruaçu	GO	Químico	Belém	PA	Cajamar	SP	4 - Até R$ 1.000.000	S/Comprovação
Roubo/Furto	22/07/2017	julho	quinta-feira	Tarde	Paraúna	GO	Defensivo Agrícola	Guararema	SP	Cuiabá	MT	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	22/07/2017	julho	quinta-feira	Noite	Prata	MG	Eletrônicos	Belém	PA	Cajamar	SP	5 - Acima de R$ 1.000.000	S/Comprovação
Roubo/Furto	23/07/2017	julho	sexta-feira	Madrugada	Ribeirão Pires	SP	Café	Leme	SP	Itaporanga D' Ajuda	SE	2 - Até R$ 300.000	Autônomo
Roubo/Furto	24/07/2017	julho	sexta-feira	Madrugada	Carmo da Cachoeira	MG	Eletrodoméstico	Varginha	MG	Contagem	MG	2 - Até R$ 300.000	Funcionário
Acidente	24/07/2017	julho	sexta-feira	Manhã	Barra do Turvo	SP	Frigorífico	São João	PR	Rio de Janeiro	RJ	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	26/07/2017	julho	sexta-feira	Noite	Itumbiara	GO	Hig/Limp/Cosm	Louveira	SP	Aparecida de Goiânia	GO	5 - Acima de R$ 1.000.000	S/Comprovação
Roubo/Furto	26/07/2017	julho	sexta-feira	Madrugada	Planura	MG	Laticínios	Piranhas	GO	Ribeirão Preto	SP	1 - De R$ 100.000 a R$ 200.000	Funcionário
Roubo/Furto	26/07/2017	julho	sexta-feira	Madrugada	Belford Roxo	RJ	Geral	São Paulo	SP	Rio de Janeiro	RJ	4 - Até R$ 1.000.000	S/Comprovação
Roubo/Furto	26/07/2017	julho	sexta-feira	Noite	Cubatão	SP	Café	Varginha	MG	Guarujá	SP	1 - De R$ 100.000 a R$ 200.000	Funcionário
Roubo/Furto	26/07/2017	julho	sexta-feira	Noite	Senador Canedo	GO	Combustível	Paulínia	SP	Senador Canedo	GO	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	26/07/2017	julho	sexta-feira	Madrugada	Arujá	SP	Alumínio	Araguari	SC	Pindamonhangaba	SP	2 - Até R$ 300.000	Autônomo
Roubo/Furto	27/07/2017	julho	sexta-feira	Noite	Rio de Janeiro	RJ	Frigorífico	Santa Maria	RS	Rio de Janeiro	RJ	2 - Até R$ 300.000	Funcionário
Roubo/Furto	28/07/2017	julho	sexta-feira	Manhã	Jarinu	SP	Eletrônicos	Campinas	SP	Taubaté	SP	4 - Até R$ 1.000.000	S/Comprovação
Roubo/Furto	29/07/2017	julho	sexta-feira	Madrugada	Delmiro Gouveia	AL	Hig/Limp/Cosm	Louveira	SP	João Pessoa	PB	3 - Até R$ 500.000	Funcionário
Roubo/Furto	29/07/2017	julho	sexta-feira	Madrugada	São Sebastião	AL	Químico	Joboatão dos Guararapes	PE	Aracaju	SE	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	31/07/2017	julho	sábado	Noite	São Paulo	SP	Alumínio	Toledo	PR	Pindamonhangaba	SP	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	31/07/2017	julho	sábado	Madrugada	Itatim	BA	Hig/Limp/Cosm	Cosmópolis	SP	Cabo de Santo Agostinho	PE	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Acidente	31/07/2017	julho	sábado	Manhã	Betim	MG	Hig/Limp/Cosm	Pouso Alegre	MG	Contagem	MG	4 - Até R$ 1.000.000	S/Comprovação
Outros	31/07/2017	julho	sábado	Manhã	França	EX	Utilidades Doméstica	França	EX	França	EX	2 - Até R$ 300.000	S/Comprovação
Acidente	01/08/2017	agosto	segunda-feira	Noite	Concórdia	SC	Específicas	São Paulo	SP	Passo Fundo	RS	1 - De R$ 100.000 a R$ 200.000	Agregado
Roubo/Furto	01/08/2017	agosto	segunda-feira	Noite	São Paulo	SP	Específicas	Osasco	SP	São Paulo	SP	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	01/08/2017	agosto	segunda-feira	Noite	Laje	BA	Bebidas	Teresópolis	RJ	Salvador	BA	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	02/08/2017	agosto	segunda-feira	Tarde	Amarante	PI	Hig/Limp/Cosm	Louveira	SP	Teresina	PI	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	02/08/2017	agosto	segunda-feira	Tarde	Amarante	PI	Hig/Limp/Cosm	Louveira	SP	Teresina	PI	4 - Até R$ 1.000.000	S/Comprovação
Acidente	02/08/2017	agosto	segunda-feira	Tarde	Ibatiba	ES	Fraldas	Goiânia	GO	Colatina	ES	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Outros	04/08/2017	agosto	segunda-feira	Sem Inf	Nanuque	MG	Frigorífico	Nanuque	MG	Israel	EX	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	05/08/2017	agosto	segunda-feira	Tarde	Paulínia	SP	Combustível	Paulínia	SP	Senador Canedo	GO	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	06/08/2017	agosto	terça-feira	Noite	Pesqueira	PE	Químico	Ananindeua	PA	Jaboatão dos Guararapes	PE	4 - Até R$ 1.000.000	Funcionário
Roubo/Furto	07/08/2017	agosto	terça-feira	Manhã	Campo Largo	PR	Sementes	Campo Verde	MT	Andirá	PR	3 - Até R$ 500.000	Autônomo
Roubo/Furto	07/08/2017	agosto	terça-feira	Noite	Cajamar	SP	Frigorífico	Cajamar	SP	Cajamar	SP	3 - Até R$ 500.000	Autônomo
Roubo/Furto	08/08/2017	agosto	terça-feira	Noite	São Paulo	SP	Específicas	Osasco	SP	São Paulo	SP	1 - De R$ 100.000 a R$ 200.000	Funcionário
Acidente	08/08/2017	agosto	terça-feira	Noite	Jaguaribe	CE	Confecção/Tecido/Fios	Americana	SP	Fortaleza	CE	2 - Até R$ 300.000	S/Comprovação
Acidente	08/08/2017	agosto	terça-feira	Madrugada	Santo Antonio de Leverger	MT	Específicas	São Paulo	SP	Várzea Grande	MT	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Outros	08/08/2017	agosto	terça-feira	Sem Inf	Itajaí	SC	Material Elétrico	China	EX	Navegantes	SC	4 - Até R$ 1.000.000	S/Comprovação
Roubo/Furto	09/08/2017	agosto	terça-feira	Noite	Arcos	MG	Café	Patrocínio	MG	Varginha	MG	3 - Até R$ 500.000	Autônomo
Roubo/Furto	10/08/2017	agosto	terça-feira	Sem Inf	Miracatu	SP	Hig/Limp/Cosm	Embu das Artes	SP	Entre Ijuís	ES	2 - Até R$ 300.000	S/Comprovação
Acidente	10/08/2017	agosto	terça-feira	Madrugada	Morretes	PR	Frigorífico	Paranaguá	PR	Cruzeiro do Oeste	PR	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	11/08/2017	agosto	terça-feira	Noite	Cubatão	SP	Frigorífico	São Paulo	SP	Guarujá	SP	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	11/08/2017	agosto	terça-feira	Manhã	Rio Claro	SP	Combustível	Paulínia	SP	Ribeirão Preto	SP	1 - De R$ 100.000 a R$ 200.000	Autônomo
Outros	11/08/2017	agosto	terça-feira	Manhã	Leopoldina	MG	Alumínio	Teresina	PI	Pindamonhangaba	SP	4 - Até R$ 1.000.000	S/Comprovação
Outros	11/08/2017	agosto	terça-feira	Sem Inf	Jundiaí	SP	Eletrônicos	Alemanha	EX	Sorocaba	SP	4 - Até R$ 1.000.000	S/Comprovação
Roubo/Furto	12/08/2017	agosto	terça-feira	Madrugada	Osasco	SP	Celulares	Sorocaba	SP	Osasco	SP	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	13/08/2017	agosto	quarta-feira	Madrugada	Itapecerica da Serra	SP	Frigorífico	Palmeiras de Goiás	GO	Guarujá	SP	4 - Até R$ 1.000.000	Funcionário
Roubo/Furto	15/08/2017	agosto	quarta-feira	Noite	Leopoldina	MG	Confecção/Tecido/Fios	Rio de Janeiro	RJ	São Luiz	MA	4 - Até R$ 1.000.000	Autônomo
Roubo/Furto	15/08/2017	agosto	quarta-feira	Madrugada	Osasco	SP	Químico	Barueri	SP	São Paulo	SP	2 - Até R$ 300.000	Autônomo
Acidente	15/08/2017	agosto	quarta-feira	Manhã	Leopoldina	MG	Alumínio	Estância	SE	Pindamonhangaba	SP	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	16/08/2017	agosto	quarta-feira	Noite	Uberaba	MG	Hig/Limp/Cosm	Louveira	SP	São José do Mipibu	RN	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	16/08/2017	agosto	quarta-feira	Tarde	São Lourenço da Serra	SP	Alumínio	Pindamonhangaba	SP	Ponta Grossa	PR	3 - Até R$ 500.000	Autônomo
Roubo/Furto	18/08/2017	agosto	quarta-feira	Noite	Itapebi	BA	Hig/Limp/Cosm	Louveira	SP	Caruaru	PE	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	18/08/2017	agosto	quarta-feira	Noite	São Paulo	SP	E-Commerce	Barueri	SP	São Paulo	SP	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	18/08/2017	agosto	quarta-feira	Manhã	Ourinhos	SP	Aço/Ferro	Araquari	SC	Cuiabá	MT	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	19/08/2017	agosto	quarta-feira	Manhã	Cosmópolis	SP	Combustível	Paulínia	SP	Cuiabá	MT	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	19/08/2017	agosto	quarta-feira	Manhã	Pindamonhangaba	SP	Alumínio	Cianorte	PR	Pindamonhangaba	SP	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	21/08/2017	agosto	quinta-feira	Noite	Jaguariaíva	PR	Combustível	Paranaguá	PR	Cuiabá	MT	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	21/08/2017	agosto	quinta-feira	Manhã	Iraí de Minas	MG	Café	Cristalina	GO	São Paulo	SP	3 - Até R$ 500.000	Funcionário
Roubo/Furto	21/08/2017	agosto	quinta-feira	Manhã	Guarulhos	SP	Material Elétrico	Porto Ferreira	SP	São Paulo	SP	1 - De R$ 100.000 a R$ 200.000	Funcionário
Roubo/Furto	22/08/2017	agosto	quinta-feira	Noite	Campinas	SP	Hig/Limp/Cosm	Louveira	SP	Campinas	SP	4 - Até R$ 1.000.000	S/Comprovação
Roubo/Furto	22/08/2017	agosto	quinta-feira	Manhã	São Gonçalo	RJ	Específicas	Curitiba	PR	Diversos	RJ	1 - De R$ 100.000 a R$ 200.000	Agregado
Outros	22/08/2017	agosto	quinta-feira	Sem Inf	Curitiba	PR	Maquinário	Curitiba	PR	Curitiba	PR	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	23/08/2017	agosto	quinta-feira	Madrugada	Pouso Alegre	MG	Específicas	Betim	MG	São Paulo	SP	2 - Até R$ 300.000	Funcionário
Roubo/Furto	23/08/2017	agosto	quinta-feira	Noite	Rio Real	BA	Óleo Lubrificante	Pederneiras	SP	Itabaiana	SE	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	23/08/2017	agosto	quinta-feira	Noite	Arujá	SP	Alumínio	Alumínio	SP	Pindamonhangaba	SP	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	23/08/2017	agosto	quinta-feira	Manhã	Biguaçu	SC	Bebidas	Ponta Grossa	PR	Antônio Carlos	SC	1 - De R$ 100.000 a R$ 200.000	Autônomo
Acidente	23/08/2017	agosto	quinta-feira	Madrugada	São Caetano	PE	Bateria	Belo Jardim	PE	Argentina	EX	2 - Até R$ 300.000	S/Comprovação
Acidente	24/08/2017	agosto	quinta-feira	Manhã	São Bernardo do Campo	SP	Alimentício	Caçapava	SP	São Bernardo do Campo	SP	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Outros	25/08/2017	agosto	quinta-feira	Sem Inf	Rio de Janeiro	RJ	Frigorífico	Santa Maria	RS	Rio de Janeiro	RJ	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Acidente	26/08/2017	agosto	quinta-feira	Tarde	Itapejara D' Oeste	PR	Frigorífico	São João	PR	Russia	EX	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Acidente	27/08/2017	agosto	sexta-feira	Tarde	Açailândia	MA	Frigorífico	Xinguara	PA	São Luis	MA	2 - Até R$ 300.000	Funcionário
Roubo/Furto	27/08/2017	agosto	sexta-feira	Tarde	Ouricuri	PE	Químico	Ananindeua	PA	Jaboatão dos Guararapes	PE	4 - Até R$ 1.000.000	Funcionário
Roubo/Furto	27/08/2017	agosto	sexta-feira	Tarde	Rosário	BA	Bebidas	Brasilia	DF	Irecê	BA	1 - De R$ 100.000 a R$ 200.000	Autônomo
Acidente	28/08/2017	agosto	sexta-feira	Manhã	Perdões	MG	Hig/Limp/Cosm	Pouso Alegre	MG	Ribeirão das Neves	MG	2 - Até R$ 300.000	Agregado
Roubo/Furto	28/08/2017	agosto	sexta-feira	Noite	Guarulhos	SP	Defensivo Agrícola	Guararema	SP	Santa Cruz do Rio Pardo	SP	2 - Até R$ 300.000	Funcionário
Roubo/Furto	29/08/2017	agosto	sexta-feira	Tarde	Vinhedo	SP	Hig/Limp/Cosm	Vinhedo	SP	Louveira	SP	3 - Até R$ 500.000	S/Comprovação
Acidente	29/08/2017	agosto	sexta-feira	Manhã	Brasília	DF	Alumínio	Pindamonhangaba	SP	Brasilia	DF	4 - Até R$ 1.000.000	S/Comprovação
Roubo/Furto	29/08/2017	agosto	sexta-feira	Noite	Cachoeira Alta	GO	Específicas	Guarulhos	SP	Porto Velho	RO	3 - Até R$ 500.000	Funcionário
Outros	30/08/2017	agosto	sexta-feira	Sem Inf	São Paulo	SP	Confecção/Tecido/Fios	EUA	EX	São Paulo	SP	4 - Até R$ 1.000.000	S/Comprovação
Roubo/Furto	31/08/2017	agosto	sexta-feira	Madrugada	AntonIna	PR	Frigorífico	Mairinque	SP	Itajai	SC	2 - Até R$ 300.000	Autônomo
Acidente	31/08/2017	agosto	sexta-feira	Madrugada	Oliveira	MG	Eletrodoméstico	Cajamar	SP	Contagem	MG	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	02/09/2017	setembro	segunda-feira	Tarde	Canto do Buriti	PI	Hig/Limp/Cosm	Louveira	SP	Teresina	PI	5 - Acima de R$ 1.000.000	Funcionário
Acidente	02/09/2017	setembro	segunda-feira	Madrugada	Cajati	SP	Geral	Baueri	SP	Curitiba	PR	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	03/09/2017	setembro	terça-feira	Tarde	Luis Antônio	SP	Alumínio	Barcarena	PA	Estiva Gerbi	SP	2 - Até R$ 300.000	Autônomo
Roubo/Furto	03/09/2017	setembro	terça-feira	Tarde	Rio de Janeiro	RJ	Frigorífico	Mirassol do Oeste	MT	São João do Meriti	RJ	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	03/09/2017	setembro	terça-feira	Noite	Pirassununga	SP	Bebidas	Pirassununga	SP	Santarém	PA	1 - De R$ 100.000 a R$ 200.000	Autônomo
Outros	03/09/2017	setembro	terça-feira	Sem Inf	Colômbia	EX	Doces/Chocolate	Santos	SP	Colômbia	EX	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	05/09/2017	setembro	terça-feira	Noite	Pontalina	GO	Bebidas	Pirassununga	SP	Santarém	PA	1 - De R$ 100.000 a R$ 200.000	Autônomo
Acidente	05/09/2017	setembro	terça-feira	Noite	Ipaumirim	CE	Alimentício	Cianorte	PR	Maracanau	CE	1 - De R$ 100.000 a R$ 200.000	Funcionário
Acidente	05/09/2017	setembro	terça-feira	Noite	Rio Real	BA	Frigorífico	São João	PR	Rio Largo	AL	1 - De R$ 100.000 a R$ 200.000	Funcionário
Roubo/Furto	05/09/2017	setembro	terça-feira	Sem Inf	Itatiba	SP	Bebidas	Jundiaí	SP	Dourados	MS	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	06/09/2017	setembro	terça-feira	Tarde	Garanhuns	PE	Alimentício	Garanhuns	PE	Pouso Alegre	MG	1 - De R$ 100.000 a R$ 200.000	Agregado
Roubo/Furto	06/09/2017	setembro	terça-feira	Madrugada	Valinhos	SP	Geral	Vargem Grande do Sul	SP	São Paulo	SP	1 - De R$ 100.000 a R$ 200.000	Funcionário
Roubo/Furto	06/09/2017	setembro	terça-feira	Noite	Registro	SP	Alumínio	Pindamonhangaba	SP	Ponta Grossa	PR	3 - Até R$ 500.000	Autônomo
Roubo/Furto	07/09/2017	setembro	terça-feira	Madrugada	São Bernardo do Campo	SP	Alumínio	Alumínio	SP	Araçariguama	SP	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	07/09/2017	setembro	terça-feira	Manhã	Santos	SP	Alimentício	Santos	SP	Alumínio	SP	4 - Até R$ 1.000.000	Autônomo
Roubo/Furto	08/09/2017	setembro	terça-feira	Madrugada	Uberaba	MG	Café	Linhares	ES	Catanduva	SP	2 - Até R$ 300.000	Autônomo
Roubo/Furto	08/09/2017	setembro	terça-feira	Sem Inf	Poá	SP	Brinquedos	Poá	SP	Fortaleza	CE	1 - De R$ 100.000 a R$ 200.000	Autônomo
Acidente	09/09/2017	setembro	terça-feira	Sem Inf	Sapucaia do Sul	RS	Pneus	Gravataí	RS	Baueri	SP	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	09/09/2017	setembro	terça-feira	Tarde	Cachoeirinha	PE	Hig/Limp/Cosm	Louveira	SP	João Pessoa	PB	4 - Até R$ 1.000.000	Funcionário
Roubo/Furto	09/09/2017	setembro	terça-feira	Noite	Morrinhos	GO	Bateria	São Paulo	SP	Anápolis	GO	4 - Até R$ 1.000.000	Funcionário
Roubo/Furto	09/09/2017	setembro	terça-feira	Sem Inf	Catalão	GO	Alimentício	São José do Rio Pardo	SP	Brasilia	DF	3 - Até R$ 500.000	S/Comprovação
Acidente	09/09/2017	setembro	terça-feira	Manhã	Santo Antônio do Amparo	MG	Móveis	Turvo	SC	Salvador	BA	1 - De R$ 100.000 a R$ 200.000	Funcionário
Roubo/Furto	09/09/2017	setembro	terça-feira	Tarde	Tabaí	RS	Frigorífico	Santa Maria	RS	Jacareí	SP	2 - Até R$ 300.000	S/Comprovação
Roubo/Furto	10/09/2017	setembro	quarta-feira	Noite	Salinas	MG	Calçados	Birigui	SP	Cabo de Santo Agostinho	PE	2 - Até R$ 300.000	Funcionário
Roubo/Furto	10/09/2017	setembro	quarta-feira	Tarde	São João de Meriti	RJ	Frigorífico	Rolim de Moura	RO	São João de Meriti	RJ	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	12/09/2017	setembro	quarta-feira	Madrugada	Campina Grande do Sul	PR	Autopeças	São Paulo	SP	Francisco Beltrão	PR	3 - Até R$ 500.000	Autônomo
Roubo/Furto	12/09/2017	setembro	quarta-feira	Madrugada	São Paulo	SP	E-Commerce	Itapevi	SP	Guarulhos	SP	1 - De R$ 100.000 a R$ 200.000	Autônomo
Roubo/Furto	12/09/2017	setembro	quarta-feira	Manhã	Pindamonhangaba	SP	Alumínio	Pindamonhangaba	SP	Ponta Grossa	PR	4 - Até R$ 1.000.000	Autônomo
Roubo/Furto	13/09/2017	setembro	quarta-feira	Tarde	São Bernardo do Campo	SP	Específicas	Guarulhos	SP	Cascavel	PR	3 - Até R$ 500.000	S/Comprovação
Acidente	13/09/2017	setembro	quarta-feira	Tarde	Vitória da Conquista	BA	Específicas	Feira de Santana	BA	Contagem	MG	4 - Até R$ 1.000.000	S/Comprovação
Roubo/Furto	14/09/2017	setembro	quarta-feira	Manhã	Canguaretama	RN	Hig/Limp/Cosm	Ipojuca	PE	Mossoró	RN	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	14/09/2017	setembro	quarta-feira	Tarde	Arujá	SP	Alumínio	Pindamonhangaba	SP	Ponta Grossa	PR	3 - Até R$ 500.000	S/Comprovação
Roubo/Furto	15/09/2017	setembro	quarta-feira	Sem Inf	São Paulo	SP	Alimentício	Guarulhos	SP	São Paulo	SP	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	15/09/2017	setembro	quarta-feira	Sem Inf	Patos de Minas	MG	Defensivo Agrícola	Uberaba	MG	Pirapora	MG	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	15/09/2017	setembro	quarta-feira	Sem Inf	Patos de Minas	MG	Defensivo Agrícola	Uberaba	MG	Campos Altos	MG	1 - De R$ 100.000 a R$ 200.000	S/Comprovação
Roubo/Furto	17/09/2017	setembro	quinta-feira	Madrugada	Cachoeirinha	PE	Hig/Limp/Cosm	Vinhedo	SP	Ipojuca	PE	3 - Até R$ 500.000	Funcionário
Roubo/Furto	17/09/2017	setembro	quinta-feira	Manhã	Nova Iguaçú	RJ	Frigorífico	Cascavel	PR	São Gonçalo	RJ	1 - De R$ 100.000 a R$ 200.000	Funcionário
