Market;Commodity;Variety;Grade;Price
Angamaly;Ginger(Green);Green Ginger;FAQ;7000
Angamaly;Green Chilli;Green Chilly;FAQ;4500
Angamaly;Little gourd (Kundru);Other;FAQ;4500
Angamaly;Mango (Raw-Ripe);Mango - Raw-Ripe;FAQ;6500
Angamaly;Onion;Big;FAQ;2700
Angamaly;Pineapple;Pine Apple;Medium;4500
Angamaly;Potato;Potato;FAQ;3500
Angamaly;Pumpkin;Pumpkin;FAQ;2000
Angamaly;Snakeguard;Snakeguard;FAQ;4500
Angamaly;Tapioca;Tapioca;FAQ;2500
Angamaly;Tomato;Tomato;FAQ;4500
Ernakulam;Amphophalus;Amphophalus;FAQ;4200
Ernakulam;Ashgourd;Ashgourd;FAQ;3000
Ernakulam;Banana;Palayamthodan;Large;2000
Ernakulam;Banana - Green;Banana - Green;FAQ;4500
Ernakulam;Beetroot;Beetroot;FAQ;4200
Ernakulam;Bhindi(Ladies Finger);Bhindi;FAQ;5600
Ernakulam;Bitter gourd;Bitter Gourd;FAQ;4500
Ernakulam;Brinjal;Brinjal;FAQ;3000
Ernakulam;Cabbage;Cabbage;FAQ;2200
Ernakulam;Carrot;Carrot;FAQ;3700
Ernakulam;Cauliflower;Cauliflower;FAQ;3200
Ernakulam;Coconut;Coconut;FAQ;4000
Ernakulam;Colacasia;Other;FAQ;6000
Ernakulam;Cucumbar(Kheera);Cucumbar;FAQ;2700
Ernakulam;Drumstick;Drumstick;FAQ;7000
Ernakulam;Elephant Yam (Suran);Other;FAQ;4200
Ernakulam;Field Pea;Field Pea;FAQ;4400
Ernakulam;Ginger(Green);Green Ginger;FAQ;7500
Ernakulam;Green Chilli;Green Chilly;FAQ;3500
Ernakulam;Mango (Raw-Ripe);Mango - Raw-Ripe;FAQ;6500
Ernakulam;Onion;Big;FAQ;3500
Ernakulam;Potato;Potato;FAQ;3000
Ernakulam;Pumpkin;Pumpkin;FAQ;1700
Ernakulam;Rice;Jaya;FAQ;3700
Ernakulam;Snakeguard;Snakeguard;FAQ;3400
Ernakulam;Tapioca;Tapioca;FAQ;3000
Ernakulam;Tomato;Tomato;FAQ;3500
Perumbavoor;Amaranthus;Amaranthus;FAQ;3000
Perumbavoor;Arecanut(Betelnut/Supari);Supari;FAQ;32500
Perumbavoor;Ashgourd;Ashgourd;FAQ;2000
Perumbavoor;Banana;Palayamthodan;Medium;2500
Perumbavoor;Banana - Green;Banana - Green;FAQ;3000
Perumbavoor;Bhindi(Ladies Finger);Bhindi;FAQ;4500
Perumbavoor;Bitter gourd;Bitter Gourd;FAQ;3500
Perumbavoor;Black pepper;Garbled;FAQ;47000
Perumbavoor;Bottle gourd;Other;FAQ;2000
Perumbavoor;Brinjal;Brinjal;FAQ;2000
Perumbavoor;Cabbage;Cabbage;FAQ;2000
Perumbavoor;Carrot;Carrot;FAQ;3500
Perumbavoor;Cauliflower;Cauliflower;FAQ;2500
Perumbavoor;Colacasia;Other;FAQ;6000
Perumbavoor;Cucumbar(Kheera);Cucumbar;FAQ;2500
Perumbavoor;Drumstick;Drumstick;FAQ;12500
Perumbavoor;Elephant Yam (Suran);Other;FAQ;3000
Perumbavoor;Field Pea;Field Pea;FAQ;3500
Perumbavoor;Ginger(Dry);Dry;FAQ;14500
Perumbavoor;Ginger(Green);Green Ginger;FAQ;6500
Perumbavoor;Green Chilli;Green Chilly;FAQ;4000
Perumbavoor;Little gourd (Kundru);Other;FAQ;2500
Perumbavoor;Mango (Raw-Ripe);Mango - Raw-Ripe;FAQ;7500
Perumbavoor;Onion;Onion;FAQ;2000
Perumbavoor;Pineapple;Pine Apple;Medium;3500
Perumbavoor;Potato;Potato;FAQ;2000
Perumbavoor;Pumpkin;Pumpkin;FAQ;1500
Perumbavoor;Snakeguard;Snakeguard;FAQ;2000
Perumbavoor;Tapioca;Tapioca;FAQ;2500
Perumbavoor;Tomato;Tomato;FAQ;3000
Piravam;Amaranthus;Other;FAQ;3000
Piravam;Amphophalus;Other;FAQ;4000
Piravam;Ashgourd;Other;FAQ;3000
Piravam;Banana - Green;Other;FAQ;3500
Piravam;Beetroot;Other;FAQ;3500
Piravam;Bhindi(Ladies Finger);Other;FAQ;6000
Piravam;Bitter gourd;Other;FAQ;4000
Piravam;Bottle gourd;Other;FAQ;3000
Piravam;Brinjal;Other;FAQ;4000
Piravam;Cabbage;Other;FAQ;3000
Piravam;Capsicum;Other;FAQ;8500
Piravam;Carrot;Other;FAQ;4500
Piravam;Cauliflower;Other;FAQ;6000
Piravam;Colacasia;Other;FAQ;7000
Piravam;Cowpea(Veg);Other;FAQ;4500
Piravam;Cucumbar(Kheera);Other;FAQ;4000
Piravam;Ginger(Green);Other;FAQ;6000
Piravam;Green Chilli;Other;FAQ;5000
Piravam;Indian Beans (Seam);Other;FAQ;5500
Piravam;Little gourd (Kundru);Other;FAQ;3000
Piravam;Mango;Other;Medium;5000
Piravam;Onion;Big;FAQ;2000
Piravam;Potato;Other;FAQ;3000
Piravam;Pumpkin;Other;FAQ;3000
Piravam;Snakeguard;Other;FAQ;3000
Piravam;Tapioca;Other;FAQ;2500
Piravam;Tomato;Other;FAQ;3500
Thrippunithura;Amphophalus;Amphophalus;FAQ;4200
Thrippunithura;Ashgourd;Ashgourd;FAQ;3400
Thrippunithura;Banana;Palayamthodan;Medium;2700
Thrippunithura;Banana;Poovan;Medium;5800
Thrippunithura;Banana - Green;Banana - Green;FAQ;3200
Thrippunithura;Beetroot;Beetroot;FAQ;4200
Thrippunithura;Bhindi(Ladies Finger);Bhindi;FAQ;7200
Thrippunithura;Bitter gourd;Bitter Gourd;FAQ;5200
Thrippunithura;Bottle gourd;Bottle Gourd;FAQ;4400
Thrippunithura;Brinjal;Brinjal;FAQ;4600
Thrippunithura;Cabbage;Cabbage;FAQ;3000
Thrippunithura;Capsicum;Capsicum;FAQ;7000
Thrippunithura;Carrot;Carrot;FAQ;4200
Thrippunithura;Cauliflower;Cauliflower;FAQ;4600
Thrippunithura;Colacasia;Other;FAQ;7000
Thrippunithura;Cowpea(Veg);Cowpea (Veg);FAQ;4600
Thrippunithura;Cucumbar(Kheera);Cucumbar;FAQ;3400
Thrippunithura;Drumstick;Drumstick;FAQ;11000
Thrippunithura;Ginger(Green);Green Ginger;FAQ;8500
Thrippunithura;Green Chilli;Green Chilly;FAQ;5000
Thrippunithura;Indian Beans (Seam);Other;FAQ;6200
Thrippunithura;Leafy Vegetable;Other;FAQ;10000
Thrippunithura;Lemon;Other;FAQ;10200
Thrippunithura;Little gourd (Kundru);Other;FAQ;5200
Thrippunithura;Mango (Raw-Ripe);Mango - Raw-Ripe;FAQ;6200
Thrippunithura;Onion;Big;FAQ;1700
Thrippunithura;Pineapple;Pine Apple;Medium;4200
Thrippunithura;Potato;Potato;FAQ;3400
Thrippunithura;Pumpkin;Pumpkin;FAQ;3200
Thrippunithura;Snakeguard;Snakeguard;FAQ;4200
Thrippunithura;Tapioca;Tapioca;FAQ;3200
Thrippunithura;Tomato;Tomato;FAQ;4200
Kattappana;Amla(Nelli Kai);Other;FAQ;4500
Kattappana;Apple;Other;Medium;21500
Kattappana;Ashgourd;Other;FAQ;1500
Thodupuzha;Banana;Nendra Bale;Medium;2500
Thodupuzha;Banana;Other;Medium;5000
Thodupuzha;Banana;Palayamthodan;Medium;2000
Thodupuzha;Banana;Poovan;Medium;2400
Thodupuzha;Banana;Robusta;Medium;2200
Thodupuzha;Beetroot;Other;FAQ;1800
Thodupuzha;Bhindi(Ladies Finger);Other;FAQ;5600
Thodupuzha;Bitter gourd;Other;FAQ;4000
Thodupuzha;Black pepper;Garbled;FAQ;39500
Thodupuzha;Black pepper;Ungrabled;FAQ;36500
Thodupuzha;Brinjal;Other;FAQ;2000
Thodupuzha;Cabbage;Other;FAQ;2200
Thodupuzha;Cardamoms;Other;FAQ;250000
Thodupuzha;Carrot;Other;FAQ;2800
Thodupuzha;Cloves;Other;FAQ;77500
Thodupuzha;Coconut;Big;FAQ;1800
Thodupuzha;Coconut;Other;FAQ;3500
Thodupuzha;Coconut Oil;Other;FAQ;18000
Thodupuzha;Copra;other;FAQ;8500
Thodupuzha;Cowpea(Veg);Other;FAQ;4400
Thodupuzha;Cucumbar(Kheera);Cucumbar;FAQ;2000
Thodupuzha;Cucumbar(Kheera);Other;FAQ;2400
Thodupuzha;Garlic;Other;FAQ;7000
Thodupuzha;Ginger(Dry);Dry;FAQ;14000
Thodupuzha;Ginger(Green);Other;FAQ;6000
Thodupuzha;Green Chilli;Other;FAQ;3600
Thodupuzha;Little gourd (Kundru);Other;FAQ;3600
Thodupuzha;Mango (Raw-Ripe);Other;FAQ;5800
Thodupuzha;Nutmeg;Other;FAQ;32000
Thodupuzha;Onion;Big;FAQ;1600
Thodupuzha;Onion;Small;FAQ;3000
Thodupuzha;Potato;Other;FAQ;3000
Thodupuzha;Pumpkin;Other;FAQ;1400
Thodupuzha;Rice;IR-8;FAQ;3800
Thodupuzha;Rice;Mataa Parboiled;FAQ;4800
Thodupuzha;Rubber;Other;FAQ;12000
Thodupuzha;Rubber;RSS-4;FAQ;14000
Thodupuzha;Snakeguard;Other;FAQ;3800
Thodupuzha;Tomato;Other;FAQ;3600
Thodupuzha;Turmeric;Dry;FAQ;11000
Thodupuzha;Turmeric;Other;FAQ;1700
Thodupuzha;Water Melon;Other;Medium;1200
Irikkur;Arecanut(Betelnut/Supari);Other;FAQ;34000
Irikkur;Banana;Other;Medium;4000
Irikkur;Cashewnuts;Other;FAQ;11500
Irikkur;Rubber;Other;FAQ;14000
Payyannur;Amaranthus;Other;FAQ;3500
Payyannur;Arecanut(Betelnut/Supari);Other;FAQ;36000
Payyannur;Ashgourd;Other;FAQ;2800
Payyannur;Banana;Other;Small;3700
Payyannur;Banana;Other;Large;3100
Payyannur;Banana;Other;Medium;3400
Payyannur;Black pepper;Other;FAQ;46500
Payyannur;Copra;other;FAQ;7800
Payyannur;Cucumbar(Kheera);Other;FAQ;2400
Payyannur;Pumpkin;Other;FAQ;1600
Payyannur;Tapioca;Other;FAQ;3000
Taliparamba;Arecanut(Betelnut/Supari);Other;FAQ;36000
Taliparamba;Black pepper;Other;FAQ;46000
Taliparamba;Coconut;Other;FAQ;2750
Taliparamba;Coconut Oil;Other;FAQ;2180
Taliparamba;Copra;Copra;FAQ;8000
Taliparamba;Rubber;Other;FAQ;14100
Kanjangadu;Amaranthus;Other;FAQ;4400
Kanjangadu;Arecanut(Betelnut/Supari);Other;FAQ;33000
Kanjangadu;Ashgourd;Ashgourd;FAQ;2400
Kanjangadu;Banana;Other;Large;4000
Kanjangadu;Banana;Other;Small;5500
Kanjangadu;Banana - Green;Banana - Green;FAQ;2600
Kanjangadu;Bhindi(Ladies Finger);Bhindi;FAQ;5500
Kanjangadu;Bitter gourd;Bitter Gourd;FAQ;4000
Kanjangadu;Black pepper;Other;FAQ;43000
Kanjangadu;Brinjal;Brinjal;FAQ;3000
Kanjangadu;Cabbage;Cabbage;FAQ;1800
Kanjangadu;Cauliflower;Cauliflower;FAQ;3000
Kanjangadu;Coconut Oil;Other;FAQ;16000
Kanjangadu;Coconut Seed;Other;FAQ;2600
Kanjangadu;Copra;other;FAQ;7500
Anchal;Amaranthus;Other;FAQ;3800
Anchal;Ashgourd;Other;FAQ;4600
Anchal;Beetroot;Other;FAQ;3700
Anchal;Bhindi(Ladies Finger);Other;FAQ;5600
Anchal;Bitter gourd;Other;FAQ;7900
Anchal;Bottle gourd;Other;FAQ;3600
Anchal;Brinjal;Brinjal;FAQ;4600
Anchal;Cabbage;Other;FAQ;3600
Anchal;Capsicum;Capsicum;FAQ;6400
Anchal;Carrot;Carrot;FAQ;6700
Anchal;Cauliflower;Cauliflower;FAQ;4600
Anchal;Coconut;Other;FAQ;4500
Anchal;Colacasia;Other;FAQ;5600
Anchal;Cucumbar(Kheera);Other;FAQ;3600
Anchal;Elephant Yam (Suran);Other;FAQ;2700
Anchal;Onion;Other;FAQ;3400
Anchal;Potato;Other;FAQ;3800
Chathanoor;Amphophalus;Other;FAQ;4000
Chathanoor;Ashgourd;Other;FAQ;3000
Chathanoor;Banana;Banana - Ripe;Medium;5500
Chathanoor;Banana;Red Banana;Medium;6500
Chathanoor;Banana;Robusta;Medium;4000
Chathanoor;Bhindi(Ladies Finger);Other;FAQ;8000
Chathanoor;Brinjal;Other;FAQ;4000
Chathanoor;Cabbage;Other;FAQ;4000
Chathanoor;Carrot;Other;FAQ;5000
Chathanoor;Cowpea(Veg);Other;FAQ;8000
Chathanoor;Cucumbar(Kheera);Other;FAQ;5000
Chathanoor;Ginger(Green);Other;FAQ;9000
Chathanoor;Onion;Other;FAQ;2500
Chathanoor;Potato;Other;FAQ;4000
Chathanoor;Pumpkin;Other;FAQ;2500
Chathanoor;Snakeguard;Other;FAQ;5000
Chathanoor;Tomato;Other;FAQ;4000
Kottarakkara;Amaranthus;Other;FAQ;6000
Kottarakkara;Ashgourd;Other;FAQ;6000
Kottarakkara;Beetroot;Other;FAQ;4000
Kottarakkara;Bhindi(Ladies Finger);Other;FAQ;5000
Kottarakkara;Bitter gourd;Other;FAQ;9000
Kottarakkara;Bottle gourd;Other;FAQ;3000
Kottarakkara;Brinjal;Other;FAQ;4000
Kottarakkara;Cabbage;Other;FAQ;5000
Kottarakkara;Carrot;Other;FAQ;7000
Kottarakkara;Coconut;Other;FAQ;4000
Kottarakkara;Colacasia;Other;FAQ;5000
Kottarakkara;Cowpea(Veg);Other;FAQ;9000
Kottarakkara;Cucumbar(Kheera);Other;FAQ;5500
Kottarakkara;Drumstick;Drumstick;FAQ;9000
Kottarakkara;Elephant Yam (Suran);Other;FAQ;5000
Kottarakkara;Ginger(Green);Other;FAQ;10000
Kottarakkara;Green Chilli;Other;FAQ;10000
Kottarakkara;Little gourd (Kundru);Other;FAQ;5000
Kottarakkara;Onion;Other;FAQ;4000
Kottarakkara;Potato;Other;FAQ;4000
Kottarakkara;Pumpkin;Other;FAQ;4000
Kottarakkara;Snakeguard;Other;FAQ;4000
Kottarakkara;Tapioca;Other;FAQ;4000
Kottarakkara;Tomato;Other;FAQ;4000
Punalur;Amaranthus;Amaranthus;FAQ;3200
Punalur;Amphophalus;Amphophalus;FAQ;4200
Punalur;Banana;Banana - Ripe;Medium;4600
Punalur;Banana;Palayamthodan;Medium;2200
Punalur;Banana;Poovan;Medium;4200
Punalur;Banana;Red Banana;Medium;5200
Punalur;Banana;Robusta;Medium;2800
Punalur;Banana - Green;Banana - Green;FAQ;4400
Punalur;Bitter gourd;Bitter Gourd;FAQ;6200
Punalur;Brinjal;Other;FAQ;3800
Punalur;Cabbage;Cabbage;FAQ;4200
Punalur;Cowpea(Veg);Other;FAQ;6200
Punalur;Cucumbar(Kheera);Other;FAQ;1800
Punalur;Drumstick;Other;FAQ;7200
Punalur;Ginger(Green);Other;FAQ;6200
Punalur;Pumpkin;Pumpkin;FAQ;2800
Punalur;Snakeguard;Other;FAQ;2800
Sasthamkotta;Amphophalus;Other;FAQ;4800
Sasthamkotta;Ashgourd;Other;FAQ;8200
Sasthamkotta;Banana;Nendra Bale;Medium;5700
Sasthamkotta;Banana;Palayamthodan;Medium;3200
Sasthamkotta;Banana;Poovan;Medium;5200
Sasthamkotta;Banana;Red Banana;Medium;6200
Sasthamkotta;Banana;Robusta;Medium;2800
Sasthamkotta;Bhindi(Ladies Finger);Other;FAQ;7200
Sasthamkotta;Bitter gourd;Bitter Gourd;FAQ;9200
Sasthamkotta;Brinjal;Other;FAQ;5200
Sasthamkotta;Colacasia;Other;FAQ;7200
Sasthamkotta;Cowpea(Veg);Other;FAQ;8200
Sasthamkotta;Cucumbar(Kheera);Other;FAQ;3200
Sasthamkotta;Ginger(Green);Other;FAQ;7200
Sasthamkotta;Green Chilli;Other;FAQ;172
Sasthamkotta;Pumpkin;Other;FAQ;3800
Sasthamkotta;Snakeguard;Other;FAQ;4200
Sasthamkotta;Tomato;Other;FAQ;6200
Sasthamkotta;Yam;Other;FAQ;6800
Kanjirappally;Amphophalus;Other;FAQ;4600
Kanjirappally;Banana;Banana - Ripe;Medium;4800
Kanjirappally;Banana - Green;Banana - Green;FAQ;4200
Kanjirappally;Beetroot;Beetroot;FAQ;3800
Kanjirappally;Bhindi(Ladies Finger);Bhindi;FAQ;7800
Kanjirappally;Bitter gourd;Bitter Gourd;FAQ;4800
Kanjirappally;Brinjal;Brinjal;FAQ;3800
Kanjirappally;Cabbage;Cabbage;FAQ;3800
Kanjirappally;Carrot;Carrot;FAQ;4600
Kanjirappally;Cluster beans;Cluster Beans;FAQ;5800
Kanjirappally;Coconut;Medium;FAQ;3800
Kanjirappally;Colacasia;Other;FAQ;7800
Kanjirappally;Cowpea(Veg);Cowpea (Veg);FAQ;5800
Kanjirappally;Cucumbar(Kheera);Cucumbar;FAQ;3800
Kanjirappally;Drumstick;Drumstick;FAQ;19800
Kanjirappally;Ginger(Green);Green Ginger;FAQ;9800
Kanjirappally;Green Chilli;Green Chilly;FAQ;5800
Kanjirappally;Little gourd (Kundru);Other;FAQ;3800
Kanjirappally;Onion;Big;FAQ;2800
Kanjirappally;Onion;Onion;FAQ;5800
Kanjirappally;Potato;Potato;FAQ;3200
Kanjirappally;Pumpkin;Pumpkin;FAQ;3800
Kanjirappally;Snakeguard;Snakeguard;FAQ;3800
Kanjirappally;Tapioca;Tapioca;FAQ;3200
Kanjirappally;Tomato;Tomato;FAQ;3800
Pampady;Amaranthus;Amaranthus;FAQ;3200
Pampady;Ashgourd;Other;FAQ;2200
Pampady;Banana;Medium;Medium;4700
Pampady;Banana;Palayamthodan;Medium;1700
Pampady;Banana;Robusta;Medium;2600
Pampady;Banana - Green;Banana - Green;FAQ;4500
Pampady;Bhindi(Ladies Finger);Bhindi;FAQ;6000
Pampady;Bitter gourd;Bitter Gourd;FAQ;5000
Pampady;Brinjal;Brinjal;FAQ;2000
Pampady;Cabbage;Other;FAQ;1700
Pampady;Cauliflower;Other;FAQ;4200
Pampady;Coconut;Coconut;FAQ;3300
Pampady;Colacasia;Other;FAQ;4200
Pampady;Cucumbar(Kheera);Other;FAQ;2500
Pampady;Drumstick;Other;FAQ;9200
Pampady;Elephant Yam (Suran);Other;FAQ;2700
Pampady;Ginger(Green);Green Ginger;FAQ;4700
Pampady;Indian Beans (Seam);Other;FAQ;4700
Pampady;Little gourd (Kundru);Other;FAQ;3600
Pampady;Mango (Raw-Ripe);Other;FAQ;5700
Pampady;Onion;Big;FAQ;1900
Pampady;Potato;Other;FAQ;2500
Pampady;Pumpkin;Other;FAQ;1900
Pampady;Rubber;Other;FAQ;14200
Pampady;Snakeguard;Other;FAQ;3700
Pampady;Tapioca;Tapioca;FAQ;3200
Pampady;Tomato;Other;FAQ;3200
Thalayolaparambu;Amaranthus;Amaranthus;FAQ;3400
Thalayolaparambu;Ashgourd;Ashgourd;FAQ;2300
Thalayolaparambu;Banana;Banana - Ripe;Medium;3500
Thalayolaparambu;Banana;Palayamthodan;Medium;2300
Thalayolaparambu;Banana;Poovan;Medium;4000
Thalayolaparambu;Banana;Robusta;Medium;3300
Thalayolaparambu;Banana - Green;Banana - Green;FAQ;3500
Thalayolaparambu;Beetroot;Beetroot;FAQ;2900
Thalayolaparambu;Bhindi(Ladies Finger);Bhindi;FAQ;4800
Thalayolaparambu;Bitter gourd;Bitter Gourd;FAQ;4400
Thalayolaparambu;Brinjal;Brinjal;FAQ;3700
Thalayolaparambu;Brinjal;Other;FAQ;2000
Thalayolaparambu;Cabbage;Cabbage;FAQ;2000
Thalayolaparambu;Carrot;Carrot;FAQ;3000
Thalayolaparambu;Cauliflower;Cauliflower;FAQ;3600
Thalayolaparambu;Cluster beans;Cluster Beans;FAQ;3500
Thalayolaparambu;Colacasia;Other;FAQ;7300
Thalayolaparambu;Cucumbar(Kheera);Cucumbar;FAQ;1800
Thalayolaparambu;Drumstick;Drumstick;FAQ;6400
Thalayolaparambu;Elephant Yam (Suran);Other;FAQ;3500
Thalayolaparambu;Ginger(Green);Green Ginger;FAQ;7400
Thalayolaparambu;Green Chilli;Green Chilly;FAQ;4500
Thalayolaparambu;Lemon;Other;FAQ;7600
Thalayolaparambu;Little gourd (Kundru);Other;FAQ;3300
Thalayolaparambu;Mango;Other;Medium;4700
Thalayolaparambu;Onion;Big;FAQ;1800
Thalayolaparambu;Onion;Onion;FAQ;3900
Thalayolaparambu;Pineapple;Pine Apple;Medium;3800
Thalayolaparambu;Potato;Other;FAQ;2500
Thalayolaparambu;Pumpkin;Pumpkin;FAQ;1500
Thalayolaparambu;Snakeguard;Snakeguard;FAQ;3500
Thalayolaparambu;Tapioca;Tapioca;FAQ;2700
Thalayolaparambu;Tomato;Tomato;FAQ;3700
Kallachi;Amaranthus;Amaranthus;FAQ;2600
Kallachi;Amphophalus;Amphophalus;FAQ;3500
Kallachi;Ashgourd;Ashgourd;FAQ;2500
Kallachi;Banana;Nendra Bale;Medium;3800
Kallachi;Banana;Palayamthodan;Medium;3000
Kallachi;Banana;Rasakathai;Medium;5000
Kallachi;Beetroot;Beetroot;FAQ;3000
Kallachi;Bitter gourd;Bitter Gourd;FAQ;3000
Kallachi;Bottle gourd;Bottle Gourd;FAQ;3000
Kallachi;Brinjal;Brinjal;FAQ;2600
Kallachi;Cabbage;Cabbage;FAQ;2000
Kallachi;Carrot;Carrot;FAQ;3000
Kallachi;Cluster beans;Cluster Beans;FAQ;5300
Kallachi;Cowpea(Veg);Cowpea (Veg);FAQ;4500
Kallachi;Drumstick;Drumstick;FAQ;9500
Kallachi;Ginger(Green);Green Ginger;FAQ;5000
Kallachi;Green Chilli;Green Chilly;FAQ;3500
Kallachi;Onion;Other;FAQ;1800
Kallachi;Potato;Other;FAQ;2200
Kallachi;Pumpkin;Pumpkin;FAQ;1600
Kallachi;Snakeguard;Snakeguard;FAQ;2700
Kallachi;Tomato;Tomato;FAQ;3100
Mukkom;Amaranthus;Amaranthus;FAQ;1400
Mukkom;Apple;Other;Large;9500
Mukkom;Ashgourd;Other;FAQ;1600
Mukkom;Banana;Other;Large;4500
Mukkom;Banana - Green;Banana - Green;FAQ;3400
Mukkom;Beetroot;Beetroot;FAQ;1800
Mukkom;Bhindi(Ladies Finger);Bhindi;FAQ;3800
Mukkom;Bitter gourd;Bitter Gourd;FAQ;3800
Mukkom;Bottle gourd;Bottle Gourd;FAQ;1400
Mukkom;Brinjal;Brinjal;FAQ;3800
Mukkom;Cabbage;Cabbage;FAQ;1800
Mukkom;Carrot;Carrot;FAQ;3800
Mukkom;Coconut Seed;Other;FAQ;2200
Mukkom;Cowpea(Veg);Cowpea (Veg);FAQ;4500
Mukkom;Cucumbar(Kheera);Cucumbar;FAQ;1200
Mukkom;Drumstick;Drumstick;FAQ;4400
Mukkom;Ginger(Green);Green Ginger;FAQ;3800
Mukkom;Grapes;Other;Large;6500
Mukkom;Green Chilli;Green Chilly;FAQ;1800
Mukkom;Onion;Onion;FAQ;1800
Mukkom;Orange;Other;Large;4500
Mukkom;Pineapple;Other;Large;1800
Mukkom;Potato;Other;FAQ;1800
Mukkom;Pumpkin;Pumpkin;FAQ;1400
Mukkom;Snakeguard;Snakeguard;FAQ;1800
Mukkom;Tomato;Tomato;FAQ;800
Palayam;Amaranthus;Other;FAQ;2000
Palayam;Amphophalus;Other;FAQ;3400
Palayam;Ashgourd;Other;FAQ;2100
Palayam;Banana - Green;Other;FAQ;2400
Palayam;Beetroot;Other;FAQ;3000
Palayam;Bhindi(Ladies Finger);Other;FAQ;4700
Palayam;Bitter gourd;Bitter Gourd;FAQ;3800
Palayam;Bottle gourd;Other;FAQ;1500
Palayam;Brinjal;Other;FAQ;1200
Palayam;Cabbage;Other;FAQ;1200
Palayam;Carrot;Other;FAQ;2500
Palayam;Cauliflower;Other;FAQ;1400
Palayam;Cluster beans;Other;FAQ;4200
Palayam;Coconut Seed;Other;FAQ;3300
Palayam;Cowpea(Veg);Other;FAQ;4200
Palayam;Cucumbar(Kheera);Other;FAQ;1600
Palayam;Drumstick;Other;FAQ;6500
Palayam;French Beans (Frasbean);Other;FAQ;2500
Palayam;Ginger(Green);Other;FAQ;4000
Palayam;Green Chilli;Other;FAQ;2500
Palayam;Onion;Other;FAQ;1300
Palayam;Potato;Other;FAQ;1600
Palayam;Pumpkin;Other;FAQ;800
Palayam;Raddish;Other;FAQ;1800
Palayam;Snakeguard;Other;FAQ;2200
Palayam;Tomato;Other;FAQ;2143
Kottakkal;Amaranthus;Other;FAQ;1960
Kottakkal;Amphophalus;Other;FAQ;3450
Kottakkal;Apple;Other;Medium;7650
Kottakkal;Ashgourd;Other;FAQ;2550
Kottakkal;Banana;Nendra Bale;Medium;3350
Kottakkal;Banana;Palayamthodan;Large;2450
Kottakkal;Banana - Green;Banana - Green;FAQ;3350
Kottakkal;Beans;Other;FAQ;3460
Kottakkal;Bhindi(Ladies Finger);Other;FAQ;4450
Kottakkal;Bitter gourd;Bitter Gourd;FAQ;4250
Kottakkal;Bottle gourd;Other;FAQ;1800
Kottakkal;Brinjal;Other;FAQ;1800
Kottakkal;Cabbage;Other;FAQ;1500
Kottakkal;Capsicum;Other;FAQ;5750
Kottakkal;Carrot;Other;FAQ;3100
Kottakkal;Cauliflower;Other;FAQ;2100
Kottakkal;Coconut;Other;FAQ;2150
Kottakkal;Coconut Oil;Copra Oil;FAQ;17550
Kottakkal;Cowpea(Veg);Other;FAQ;4550
Kottakkal;Cucumbar(Kheera);Other;FAQ;2550
Kottakkal;Drumstick;Other;FAQ;8650
Kottakkal;Ginger(Green);Other;FAQ;5650
Kottakkal;Grapes;Black;Medium;4550
Kottakkal;Grapes;Green;Medium;5250
Kottakkal;Green Chilli;Other;FAQ;3550
Kottakkal;Lime;Other;FAQ;9120
Kottakkal;Mango (Raw-Ripe);Other;FAQ;6100
Kottakkal;Onion;Other;FAQ;1750
Kottakkal;Orange;Other;Medium;6150
Kottakkal;Papaya (Raw);Other;FAQ;2550
Kottakkal;Pineapple;Other;Medium;2500
Kottakkal;Potato;Other;FAQ;2650
Kottakkal;Pumpkin;Other;FAQ;1450
Kottakkal;Snakeguard;Other;FAQ;2500
Kottakkal;Tapioca;Other;FAQ;2950
Kottakkal;Tomato;Other;FAQ;2550
Kottakkal;Water Melon;Other;Medium;1450
Manjeri;Amaranthus;Other;FAQ;2250
Manjeri;Apple;Other;Large;9250
Manjeri;Ashgourd;Other;FAQ;2550
Manjeri;Banana;Other;Large;3450
Manjeri;Banana - Green;Banana - Green;FAQ;3150
Manjeri;Beetroot;Other;FAQ;1550
Manjeri;Bengal Gram(Gram)(Whole);Bold;FAQ;6850
Manjeri;Bhindi(Ladies Finger);Other;FAQ;5050
Manjeri;Bitter gourd;Other;FAQ;4950
Manjeri;Bottle gourd;Other;FAQ;1650
Manjeri;Brinjal;Other;FAQ;1950
Manjeri;Cabbage;Other;FAQ;1050
Manjeri;Capsicum;Other;FAQ;4950
Manjeri;Carrot;Other;FAQ;2750
Manjeri;Cauliflower;Other;FAQ;1950
Manjeri;Chikoos(Sapota);Other;Large;3550
Manjeri;Coconut;Other;FAQ;2700
Manjeri;Colacasia;Other;FAQ;5550
Manjeri;Coriander(Leaves);Coriander;FAQ;7550
Manjeri;Cowpea(Veg);Other;FAQ;5050
Manjeri;Cucumbar(Kheera);Other;FAQ;2150
Manjeri;Drumstick;Other;FAQ;7950
Manjeri;Elephant Yam (Suran);Other;FAQ;3450
Manjeri;French Beans (Frasbean);French Beans (Frasbean);FAQ;3450
Manjeri;Garlic;Average;FAQ;9050
Manjeri;Ginger(Green);Other;FAQ;5550
Manjeri;Grapes;Other;Large;4450
Manjeri;Green Chilli;Other;FAQ;3450
Manjeri;Green Gram (Moong)(Whole);Bold;FAQ;9850
Manjeri;Lime;Other;FAQ;8450
